socks5://192.111.135.18:18301  # response: 1169.88ms
socks5://192.111.138.29:4145  # response: 1078.31ms
socks5://192.111.134.10:4145  # response: 1405.39ms
socks5://192.111.139.162:4145  # response: 882.26ms
socks5://192.111.139.163:19404  # response: 845.56ms
socks5://192.252.209.155:14455  # response: 913.36ms
socks5://192.111.139.165:4145  # response: 952.36ms
socks5://192.252.211.197:14921  # response: 1027.49ms
socks5://192.252.208.67:14287  # response: 1406.5ms
socks5://192.111.137.37:18762  # response: 2164.76ms
socks5://192.252.214.20:15864  # response: 1066.88ms
socks5://192.252.216.81:4145  # response: 917.35ms
socks5://192.252.220.92:17328  # response: 1031.37ms
socks5://192.111.137.34:18765  # response: 2538.29ms
socks5://198.8.84.3:4145  # response: 973.09ms
socks5://198.8.94.174:39078  # response: 1052.9ms
socks5://199.58.185.9:4145  # response: 877.39ms
socks5://199.102.105.242:4145  # response: 999.5ms
socks5://199.102.106.94:4145  # response: 1013.82ms
socks5://199.102.107.145:4145  # response: 1016.76ms
socks5://199.58.184.97:4145  # response: 1126.26ms
socks5://199.116.114.11:4145  # response: 991.75ms
socks5://199.102.104.70:4145  # response: 1369.18ms
socks5://199.229.254.129:4145  # response: 1115.65ms
socks5://206.220.175.2:4145  # response: 960.9ms
socks5://208.102.51.6:58208  # response: 5906.45ms
socks4://24.249.199.4:4145  # response: 935.96ms
socks4://24.249.199.12:4145  # response: 1739.84ms
socks4://36.95.189.165:5678  # response: 2406.25ms
socks4://45.187.76.2:3629  # response: 1115.76ms
socks4://47.176.213.210:39593  # response: 1823.51ms
socks4://67.201.59.70:4145  # response: 866.54ms
socks4://68.1.210.163:4145  # response: 749.26ms
socks4://68.71.247.130:4145  # response: 748.98ms
socks4://68.71.249.153:48606  # response: 760.66ms
socks4://68.1.210.189:4145  # response: 1072.63ms
socks4://68.71.254.6:4145  # response: 991.65ms
socks4://72.37.217.3:4145  # response: 775.34ms
socks4://72.195.34.35:27360  # response: 986.12ms
socks4://72.195.34.41:4145  # response: 779.42ms
socks4://72.37.216.68:4145  # response: 1216.51ms
socks4://72.195.34.58:4145  # response: 785.19ms
socks4://72.195.34.42:4145  # response: 894.68ms
